video_id,comment
OlafTBAEWvg,Did Wylie coyote paint a tunnel on the other side of the wall?
OlafTBAEWvg,"Let me guess 🤔, going to fast for current conditions."
OlafTBAEWvg,Couldn't have happened to a more deserving person.
OlafTBAEWvg,Body Shop guy...I can buff it out
OlafTBAEWvg,Life is about physics and probabilities.
OlafTBAEWvg,Can't fix stupid
OlafTBAEWvg,"Bro thought he was batman, flying on rooftops"
OlafTBAEWvg,The usual suspect
OlafTBAEWvg,Probably nothing of value was lost.
OlafTBAEWvg,Humpty Dumpty was late for work
OlafTBAEWvg,"the driver had to have been speeding, 200+mph is the normal speed nowadays."
OlafTBAEWvg,Crash through a brick wall then got T-boned by a speeding car on the highway. Holy frick.
OlafTBAEWvg,Speed kills. I do not feel bad for the dead speeder. Never do.
OlafTBAEWvg,"THAT LOOKS LIKE A DODGE. .. DODGE STANDS FOR 
DO 
OR
DIE
GARBAGE 
ENGINE'S 😊😊😊😊😊"
OlafTBAEWvg,"😂 🇺🇸 Sorry, but you make absolutely no sense 😂 
🇺🇸 You are only 4,2% of the world’s Population - HIRE the B E S T of the 95,8% in this WORLD 🌍 
👎 🇺🇸 USA - police officer training =                      4-6 MONTHS   =      🇺🇸     760 HOURS 🇺🇸 😂
👏 WORLD - police officer training =  *3 YEARS* ( 36 MONTHS ) =    🌎  *4.500 HOURS*

   🇺🇸 THE ONLY ADULTS IN THIS WORLD 2 ALLOW 🇺🇸 
   0  Hours of Mandatory Professional Driving School - 0️⃣  - Z E R O  
760 Hours of Stress & Screaming Police Academy  with Highschool or GED 😳 

🇩🇪 Germany ( NO SPEED LIMIT FWY )  
[ 🍺 & 🍷 Drinking Age = 16, including passengers in cars 😂 ]

14 HOURS MANDATORY Theoretical EDUCATION 
13-28 Hours avg Practice Hours
12 HOURS MANDATORY Condition Driving (5 hrs Highway, 4 hrs Freeway + 3 hrs Dusk & Night)

FATALITIES per 100.000:
🇩🇪3 Months =   3,4 💀💀💀.4
🇺🇸0 Z E R O =  16.5 💀💀💀💀💀💀💀💀💀💀10💀💀💀💀💀💀= 16.5 *AVERAGE* 😮😢😢

🇺🇸Massach.=   7 💀💀💀💀💀💀💀 =7
🇺🇸Mississip.= 26 💀💀💀💀💀💀💀💀💀💀10💀💀💀💀💀💀💀💀💀💀20💀💀💀💀💀💀 =26
."
OlafTBAEWvg,"Weeeee, weeeee…..oh F………"
OlafTBAEWvg,"""Excuse me while I kiss the sky"""
OlafTBAEWvg,Have the go fund me accts been established yet?
OlafTBAEWvg,"""airborne' for about 10 ft"
OlafTBAEWvg,Was that wile e coyote driving that thing?
OlafTBAEWvg,That car must have been moving really fast to launch and bust through the wall.
OlafTBAEWvg,Every vehicle involved was a Ford. What are the chances?
OlafTBAEWvg,Just another person competeting to run in the game: wreckfest.
OlafTBAEWvg,Looks like the hole in the Pentagon after the US government fired that missile (err I mean airplane) into the side of the building.
OlafTBAEWvg,Had to be going at least 45 mph
OlafTBAEWvg,Did somebody paint the other side like a road?! lmao
OlafTBAEWvg,Question how do you go through a wall like to begin with
OlafTBAEWvg,Speeding kills drivers!!! If you want to race go to the local racetrack and leave innocent law abiding drivers alone!!! Do your research and homework on this subject o.k 💯
OlafTBAEWvg,"Sheesh how fast were they driving? Car vs concrete, concrete usually wins."
OlafTBAEWvg,"Speeding in his little red car, lost it in the curve, went through wall and unalive himself. Drinking & driving & speeding are a deadly combination. That's if he was drinking, he was speeding into that curve though."
OlafTBAEWvg,Looks like the Kool-Aid man punched a hole in that wall.
OlafTBAEWvg,Guy wasnt even hurt bruised  but ok
OlafTBAEWvg,Females
OlafTBAEWvg,Natural selection
OlafTBAEWvg,"😂😂😂😂😂😂😂😂😂😂
He was not doing anything wrong I’m sure the media will claim"
OlafTBAEWvg,That's a wall? More like a fence.
OlafTBAEWvg,And still; no one is slowing down.
OlafTBAEWvg,Another one....
OlafTBAEWvg,It’s a good thing those retaining walls are modular.
OlafTBAEWvg,Life is not a video game.  You lose 🖕 1:53
6dYe0i2_8Dc,Some people are driving like there is no tomorrow.  They endanger themselves and everyone around them.
6dYe0i2_8Dc,THUGS IN CHARGERS COMING BACK FROM IDIOCY IN THE STREETS!
6dYe0i2_8Dc,People in cars need to obey the rules.
l6rlDGf1vNg,People drive like shit down joe ore road such a tragedy 🤦🏻‍♂️
l6rlDGf1vNg,Stop playing GTA ONLINE thinking it’s real life! Jesus what’s wrong with people?? This is one of many crashes I’ve seen in the last week or two. That’s not normal
l6rlDGf1vNg,One of the people involved was a dear friend of mine since 7th grade. My heart is torn. I’m sad and distraught at the moment. RIP Nas and also the other people involved in this crash 😔
f9m2WgoN0YY,People cannot drive no more that’s why I do not like driving like I used to
f9m2WgoN0YY,Have another drink.
f9m2WgoN0YY,Ohh My God😲.
f9m2WgoN0YY,WOW
f9m2WgoN0YY,Reckless driving day and night! Their lives will be forever changed. Praying for them.
E3vIC_ou-3g,R.i. P KIDD N KASH 🙏💙🙏❤️🕯️🙌🕯️🙌
E3vIC_ou-3g,Hmm wut was too blame for this wut
E3vIC_ou-3g,I don’t feel bad at all. If they were racing and being stupid they suffered the consequences that come with driving stupid and reckless. I would feel bad if they crashed into someone else and those people died but I don’t feel bad for the people who died racing knowing the risks 🤷🏾‍♂️
E3vIC_ou-3g,So sad the parents of my daughter friend. The mom was soooo sweet so heartbreaking
E3vIC_ou-3g,Rest in peace Kidd n Cassie 😢
E3vIC_ou-3g,Drag Racing 😢😢😢😢😢😢 Rest in Peace
E3vIC_ou-3g,😱😥😥😥✝️🙏🏽🙏🏽🙏🏽
E3vIC_ou-3g,I’m in Minnesota and I heard from someone that was outside Chicago’s greyhound they were racing another car and  lost control. Such a tragedy my heart goes out to the families 😢
E3vIC_ou-3g,😢 😭 😿 😢 😢 😭 💔 😪 😫 😢 😭 💔  😪 😫 😢 😭 💔 😪✌️ ✌️ ✌️ ☮️ 🕊 ✌️
E3vIC_ou-3g,This is so very sad heartbreaking
E3vIC_ou-3g,important people dont need to follow laws.
yTjVz6cYUmA,Is there a picture if them
3kc84AZPbtc,"Thank you Mr mayor for not having enough police to take care of downtown Chicago, your a bumb!!!"
3kc84AZPbtc,They burned to death how sad😢😢
3kc84AZPbtc,"They'll report this, but not the black on black shootings that occur daily?"
3kc84AZPbtc,Little Chocolate Pudding and Bosco putting their new stolen car through the paces before the next robbery
3kc84AZPbtc,I believe someone wasn't paying attention......Hasta Luego.
3kc84AZPbtc,Lesson to all you cornball ass drag racers doing goofball ass shit in traffic . KARMA a MF 💯
3kc84AZPbtc,"Them mfers stay racing down jefferson, clinton, canal, they used to do donuts in our parking garage on harrison and canal... under the post office... they be in jewels lot, whole foods ect... but wont do ts in their neighborhood lots"
3kc84AZPbtc,"It's sad when this kind of thing happens and I can't believe people are still doing this kind of thing and especially downtown, because there's a lot of twists and turns."
3kc84AZPbtc,"I heard about the car meets. This should be shown an example to the younger privileged crowd to stop trying to act like it’s F5.

That adrenaline rush is never worth the life your parents gave you & not worth the trauma they have to deal with after you are gone."
3kc84AZPbtc,"Play stupid games, win stupid prizes, comes to mind."
3kc84AZPbtc,"Hopefully, it was the driver.
Darwin Challenge.
Darwin in undefeated."
3kc84AZPbtc,"Glad they’re dead. It didn’t stop the drag racing though, the lowlifes were still at it from 3:30-4:00 this morning, apparently after the crash. This is how Big Johnson wants our city to be."
3kc84AZPbtc,Big Johnson won’t do ANYTHING to protect “white” neighborhoods from being preyed on by violent crime from a “certain” community.
3kc84AZPbtc,No wonder why I heard all the cars racing around and I saw the cop cars going now that makes sense
3kc84AZPbtc,overnight? looks like early morning drug taking
3kc84AZPbtc,🙏🏽🌹🕊️
3kc84AZPbtc,Lives lost to stupidity.
p4Mqzd2HkQw,I’m so sorry KIDD N KASH 🙏🕯️💙🙏🕯️❤️
gNbTKASxBsA,No life of any value was lost in this crash
34UKCvwSsRg,🕊My condolences and prayers to both family's and  to the dance team😞🙏
34UKCvwSsRg,😢
34UKCvwSsRg,Man I feel like the Chicago dance industry js messed up bc first it was polabearredfilmz now Hollywood and Bo man I remember seeing them at the bud billikien they will be missed by the whole Chicago dance industry😕😕🕊️🕊️
34UKCvwSsRg,It’s always car accident near 127-111 due to them young people speeding. They think life is GTA. I bet you they were speeding.
34UKCvwSsRg,"Damn, those potholes are horrible for all vehicles. RIP!!!!!"
34UKCvwSsRg,Single car accident probably driving like id iots
34UKCvwSsRg,So sad!! Driving while sleepy is  very dangerous and a risk. !!!
34UKCvwSsRg,"Wear your seal belt and slow down, rip to the victims!"
34UKCvwSsRg,Condolence to the families
34UKCvwSsRg,My condolences to the family and friends 🙏🙏🙏💔
34UKCvwSsRg,My condolences praying for the families 🙏🙏
34UKCvwSsRg,"Drugs, alcohol and the curves on the Bishop Ford dont mix...."
34UKCvwSsRg,🙏🙏🙏😞😞🌸🕊️
34UKCvwSsRg,Probably drunk or high af
34UKCvwSsRg,RIP Brothers.. 🙏
34UKCvwSsRg,💜🤍💜🤍Wow. Life is SO short. I pray for the mental stability of the survivors. Condolences to the two young men’s families.🙏🏾💯🕊️🤍🤍💜🤍💜
34UKCvwSsRg,🙏🙏🙏🙏
34UKCvwSsRg,Condolences to their Families 🙏
34UKCvwSsRg,Rest easy young brothers
WHK8A2PREOE,An accident caused by Pedal misapplication
WHK8A2PREOE,🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔
WHK8A2PREOE,Well Damn😠....Hope No One was Hurt.🙏🙏🙏....What a StupidAss.😒
WHK8A2PREOE,😲😲😲
WHK8A2PREOE,There is no daycare in Chicago. It's a production facility for the creation of future animals
WHK8A2PREOE,Very post meditated
WHK8A2PREOE,Whoops!
WHK8A2PREOE,This looks deliberate. 🤦🏽
WHK8A2PREOE,Wtf!
WHK8A2PREOE,Noice
WHK8A2PREOE,Stepped on the wrong pedal?  Or on purpose?  Didn't hear anything on the news.
MxiQDfU7O0c,My mom know them I think the name is tisha we had dinner a couple of months ago
MxiQDfU7O0c,For the record; I love my city!
MxiQDfU7O0c,😱
MxiQDfU7O0c,Prayers for them.
MxiQDfU7O0c,🙏🏽🕊💔
MxiQDfU7O0c,found in the roadway because he or she wasn't wearing their seatbelt.
MxiQDfU7O0c,"Ejected from the car because the individual wasn't wearing a seatbelt. 
when are people going to learn that wearing a seatbelt keeps you from being ejected from the vehicle when in an accident?"
MxiQDfU7O0c,🙏🙏
MxiQDfU7O0c,"Woah, the alien turning towards the camera freaks me out."
-BcUicXaplo,Lord Jesus😓 Please cover this family and all who knew these young people 🕊️🙏🏾
-BcUicXaplo,I'm so sorry for these young people 🎉
